knot_name,record_index,real_length,twist_angle,multiplicity,length_cutoff,status
4_1,0,1.0870701449957392,-1.7227684498700906,1,3.0,numerical_unverified
4_1,1,1.0870701449957387,1.7227684498700901,1,3.0,numerical_unverified
4_1,2,1.662885891058623,-2.3921237881723143,2,3.0,numerical_unverified
4_1,3,1.66288589105862,2.3921237881723107,2,3.0,numerical_unverified
4_1,4,1.7251092553241216,-0.9218389314813377,1,3.0,numerical_unverified
4_1,5,1.7251092553241216,0.9218389314813374,1,3.0,numerical_unverified
4_1,6,2.17414028999148,-2.8376484074394086,2,3.0,numerical_unverified
4_1,7,2.174140289991486,2.8376484074394006,2,3.0,numerical_unverified
4_1,8,2.4161132869099613,-1.208685793183501,2,3.0,numerical_unverified
4_1,9,2.416113286909963,1.2086857931835007,2,3.0,numerical_unverified
4_1,10,2.6339157938496336,-3.204937810639273e-16,1,3.0,numerical_unverified
4_1,11,2.633915793849628,3.1415926535897896,6,3.0,numerical_unverified
4_1,12,2.8394698923783896,-2.192690439615661,4,3.0,numerical_unverified
4_1,13,2.8394698923783914,2.1926904396156064,4,3.0,numerical_unverified
4_1,14,2.92156322622647,-1.381744090546208,3,3.0,numerical_unverified
4_1,15,2.92156322622647,1.381744090546207,3,3.0,numerical_unverified
5_2,0,0.5623991486459231,-2.815430885205906,1,3.0,numerical_unverified
5_2,1,1.2608040174741526,1.9780468902271842,2,3.0,numerical_unverified
5_2,2,1.5882693259837328,1.6734716736926436,1,3.0,numerical_unverified
5_2,3,1.687197445937777,2.8154308852059042,2,3.0,numerical_unverified
5_2,4,1.8026666252258376,-1.377322937501703,1,3.0,numerical_unverified
5_2,5,2.025342553250185,-0.3068176868702625,2,3.0,numerical_unverified
5_2,6,2.1791501442612855,-2.8808902750141576,2,3.0,numerical_unverified
5_2,7,2.343241207140309,2.2218708832171474,2,3.0,numerical_unverified
5_2,8,2.3921734194228925,1.1921194687987566,2,3.0,numerical_unverified
5_2,9,2.393562085205906,2.869269496210148,2,3.0,numerical_unverified
5_2,10,2.4657561675535145,0.3601239945808031,1,3.0,numerical_unverified
5_2,11,2.5732335791354037,-1.7948056842798894,2,3.0,numerical_unverified
5_2,12,2.6749956534256016,-2.487770174616811,2,3.0,numerical_unverified
5_2,13,2.7210395900884725,-0.6194791533016804,2,3.0,numerical_unverified
5_2,14,2.74448115787801,-1.4282207285551856,2,3.0,numerical_unverified
5_2,15,2.7479730243361358,1.8737026853785648,1,3.0,numerical_unverified
5_2,16,2.9342741717640806,2.5392979114682697,2,3.0,numerical_unverified
6_1,0,0.3306355216310465,2.7451641826568287,1,3.0,numerical_unverified
6_1,1,1.2366846952469033,-2.1919066993556613,2,3.0,numerical_unverified
6_1,2,1.8081597913380514,1.7018942066416904,1,3.0,numerical_unverified
6_1,3,1.8256663192509026,-2.973361083413524,2,3.0,numerical_unverified
6_1,4,1.8668659127265166,0.6155056273933232,2,3.0,numerical_unverified
6_1,5,1.8998991087312298,-1.5678299278521854,1,3.0,numerical_unverified
6_1,6,2.137585547499663,3.035092833608556,2,3.0,numerical_unverified
6_1,7,2.3782511801972417,-2.0734876760337886,1,3.0,numerical_unverified
6_1,8,2.4098254456314363,2.8051694452190117,2,3.0,numerical_unverified
6_1,9,2.4344580602030073,0.35238899045029515,2,3.0,numerical_unverified
