method,graph_count,nontrivial_partition_count,mean_part_count,mean_cut_edge_count,mean_residual_cross_edge_count,mean_balance_ratio,mean_adjacency_spectrum_partition_error,zero_spectral_error_count
articulation_separator,546,546,3.56959706959707,3.8846153846153846,0.0,0.377991452991453,0.4580434293745418,0
bfs_balanced,774,774,2.0,5.242894056847545,5.242894056847545,0.7814384151593453,0.5747370704617021,0
connected_components,1015,240,1.335960591133005,0.0,0.0,0.8361247947454844,1.9210984888722014e-17,1015
fiedler_median,774,774,2.0,3.859173126614987,3.859173126614987,0.7814384151593453,0.4734301144134947,0
fiedler_sign,774,774,2.0,3.0839793281653747,3.0839793281653747,0.6267011197243756,0.3780618448305315,0
