block_outcome,graph_count,mean_block_search_nodes_saved,mean_articulation_count,mean_biconnected_block_count,mean_adjacency_spectral_radius,mean_adjacency_spectral_gap,mean_adjacency_energy,mean_algebraic_connectivity,mean_largest_laplacian_eigenvalue,mean_fiedler_median_cut_edges,mean_fiedler_sign_cut_edges,mean_bfs_balanced_cut_edges
improved,472,2.288135593220339,1.1758474576271187,2.7457627118644066,3.0168604136598187,2.0565642771360184,8.485460649044422,0.49369617989308384,5.443933695230813,3.6375,2.503125,5.090625
regressed,42,-1.6666666666666667,1.2142857142857142,2.4285714285714284,2.9376693646984613,1.4424586922102596,9.275498315990799,0.6592361671821502,5.748036764187104,2.72972972972973,2.3783783783783785,5.054054054054054
tied,501,0.0,0.4411177644710579,1.8842315369261478,2.98425404236274,1.9930137700125719,8.632984019826955,1.167525788947391,5.491178341707142,4.129496402877698,3.592326139088729,5.376498800959233
