bucket,row_count,geometry_gate_passed,verified_hyperbolic_count,minimum_volume,mean_volume,maximum_volume,mean_normalized_simplicial_volume,unsigned_tait_applicable_count
all,35,35,0,0.0,5.906076869984264,12.350906209158202,5.819129724001518,32
hyperbolic,31,31,0,2.029883212819307,6.668151304820945,12.350906209158202,6.569985172259778,29
torus,4,4,0,0.0,0.0,0.0,0.0,3
alternating,32,32,0,0.0,6.118877302431452,12.350906209158202,6.028797384784453,32
nonalternating,3,3,0,0.0,3.6362055905476005,6.783713519835127,3.582674675650201,0
