fixture,source_mode,base_samples,resolution,subdivision_factor,projection,projection_class,projection_direction,expected_crossing_count,expected_determinant,polygon_length,vertex_distortion_estimate,minimum_nonlocal_vertex_clearance,crossing_count,gauss_component_count,alternating_projection,canonical_gauss_signature,pd_code,fox_determinant,first_tait_tree_count,second_tait_tree_count,unsigned_tait_shortcut_applicable,unsigned_tait_shortcut_agrees,tait_construction_status,tait_error,simplification_status,simplification_changed,simplified_crossing_count,simplified_component_count,simplified_fox_determinant,simplification_error,topological_fixture_pass,minimum_crossing_angle_degrees,minimum_crossing_depth_separation,minimum_crossing_vertex_parameter_margin,normalized_minimum_depth_separation,crossing_count_matches_expected,determinant_matches_expected,backend_messages,extraction_status,error_message,runtime_seconds,direction_index,direction_x,direction_y,direction_z,longitude_radians,latitude_radians,raw_minimal_diagram_pass,extra_raw_crossings
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_089,generic_tilt,"[0.35918884628183667, 0.8439377532143428, -0.3984375]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,8,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:+1:-1|4:-1:-1|5:+1:-1|6:+1:-1|7:-1:-1|5:-1:-1|2:+1:-1|3:-1:-1|8:-1:-1|8:+1:-1|4:+1:-1|7:+1:-1|6:-1:-1,"[[1, 10, 2, 11], [4, 11, 5, 12], [5, 2, 6, 3], [7, 16, 8, 1], [8, 9, 9, 10], [12, 3, 13, 4], [14, 13, 15, 14], [15, 6, 16, 7]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,5.969785658806565,1.2634194660442701,0.012181242847830731,0.14438454349602559,False,True,,passed,,0.007043899997370318,89,0.35918884628183667,0.8439377532143428,-0.3984375,1.1684086166085081,-0.4098126517404412,False,3
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_090,generic_tilt,"[-0.8286025284826893, -0.3767891928994833, -0.4140625]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,9,1,False,1:+1:+1|2:+1:-1|3:+1:-1|3:-1:-1|4:-1:-1|5:+1:-1|6:-1:-1|7:-1:-1|8:+1:-1|6:+1:-1|9:-1:-1|4:+1:-1|2:-1:-1|1:-1:+1|5:-1:-1|8:-1:-1|7:+1:-1|9:+1:-1,"[[1, 10, 2, 11], [2, 16, 3, 15], [3, 14, 4, 15], [5, 16, 6, 17], [8, 17, 9, 18], [9, 6, 10, 7], [11, 4, 12, 5], [12, 13, 13, 14], [18, 7, 1, 8]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,11.10505000069594,0.5720664458156455,0.05328630728499828,0.06536593642105946,False,True,,passed,,0.005844300001626834,90,-0.8286025284826893,-0.3767891928994833,-0.4140625,-2.714813460842423,-0.4269126228297277,False,4
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_091,generic_tilt,"[0.8585897775725349, -0.2796287649575688, -0.4296875]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,8,1,False,1:+1:+1|2:+1:-1|3:+1:-1|4:-1:-1|5:-1:-1|1:-1:+1|6:-1:-1|7:+1:-1|2:-1:-1|8:+1:-1|4:+1:-1|3:-1:-1|8:-1:-1|5:+1:-1|7:-1:-1|6:+1:-1,"[[2, 9, 3, 10], [3, 12, 4, 13], [4, 16, 5, 15], [5, 14, 6, 15], [7, 16, 8, 1], [10, 1, 11, 2], [11, 8, 12, 9], [13, 6, 14, 7]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,7.013420964426037,1.3755609482142097,0.046068245145182374,0.15835897850701688,False,True,,passed,,0.005548000000999309,91,0.8585897775725349,-0.2796287649575688,-0.4296875,-0.31485023111376764,-0.4441466712053621,False,3
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_092,generic_tilt,"[-0.4404709182519047, 0.7795397023359835, -0.4453125]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,7,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:-1:-1|4:+1:-1|5:+1:-1|6:-1:-1|2:+1:-1|7:-1:-1|4:-1:-1|3:+1:-1|7:+1:-1|5:-1:-1|6:+1:-1,"[[1, 8, 2, 9], [4, 11, 5, 12], [5, 14, 6, 1], [6, 7, 7, 8], [9, 2, 10, 3], [12, 3, 13, 4], [13, 10, 14, 11]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,20.10646054099008,0.9182424406356132,0.05779880781199154,0.1052962939407281,False,True,,passed,,0.005458700004965067,92,-0.4404709182519047,0.7795397023359835,-0.4453125,2.0851129986148877,-0.46152324624700164,False,2
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_093,generic_tilt,"[-0.1999920066162086, -0.8646038505485459, -0.4609375]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,7,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:-1:-1|4:+1:-1|5:+1:-1|6:-1:-1|2:+1:-1|7:-1:-1|4:-1:-1|3:+1:-1|7:+1:-1|5:-1:-1|6:+1:-1,"[[1, 6, 2, 7], [2, 13, 3, 14], [4, 11, 5, 12], [7, 14, 8, 1], [8, 3, 9, 4], [9, 10, 10, 11], [12, 5, 13, 6]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,46.1695926974253,1.26615367749238,0.053742932506622765,0.14286470877931812,False,True,,passed,,0.00507820000348147,93,-0.1999920066162086,-0.8646038505485459,-0.4609375,-1.7981090788360437,-0.47905132729611205,False,2
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_094,generic_tilt,"[0.7246643951077351, 0.49774461127860575, -0.4765625]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,7,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:-1:-1|4:+1:-1|5:+1:-1|6:-1:-1|2:+1:-1|7:-1:-1|4:-1:-1|3:+1:-1|7:+1:-1|5:-1:-1|6:+1:-1,"[[2, 9, 3, 10], [5, 10, 6, 11], [6, 3, 7, 4], [8, 1, 9, 2], [11, 4, 12, 5], [12, 7, 13, 8], [13, 14, 14, 1]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,40.9066784909696,1.2195368632318733,0.04062882406448054,0.14202156482853429,False,True,,passed,,0.006599199987249449,94,0.7246643951077351,0.49774461127860575,-0.4765625,0.6018541508926117,-0.4967404812077047,False,2
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_095,generic_tilt,"[-0.8619996163400566, 0.12127706408610528, -0.4921875]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,8,1,False,1:+1:-1|1:-1:-1|2:+1:-1|3:-1:-1|4:-1:-1|5:-1:-1|5:+1:-1|6:+1:-1|7:-1:-1|8:+1:-1|3:+1:-1|2:-1:-1|8:-1:-1|4:+1:-1|6:-1:-1|7:+1:-1,"[[1, 10, 2, 11], [2, 3, 3, 4], [5, 12, 6, 13], [8, 15, 9, 16], [9, 6, 10, 7], [11, 4, 12, 5], [14, 13, 15, 14], [16, 7, 1, 8]]",5,,,False,,not_applicable,,passed,True,6,1,5,,False,5.902308506565061,1.1896657286071977,0.029862573373520718,0.13776040662234632,False,True,,passed,,0.007335300004342571,95,-0.8619996163400566,0.12127706408610528,-0.4921875,3.001817380621267,-0.5146009275773826,False,3
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_096,generic_tilt,"[0.5479518684708107, -0.664736951495174, -0.5078125]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,8,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:+1:-1|4:-1:-1|5:+1:-1|6:+1:-1|6:-1:-1|7:-1:-1|2:+1:-1|3:-1:-1|8:-1:-1|8:+1:-1|4:+1:-1|5:-1:-1|7:+1:-1,"[[1, 16, 2, 1], [2, 9, 3, 10], [4, 13, 5, 14], [5, 6, 6, 7], [8, 15, 9, 16], [11, 10, 12, 11], [12, 3, 13, 4], [14, 7, 15, 8]]",5,,,False,,not_applicable,,passed,True,5,1,5,,True,21.965725812347983,1.1806505103872007,0.007539504840650579,0.13559263687688553,False,True,,passed,,0.005833100003656,96,0.5479518684708107,-0.664736951495174,-0.5078125,-0.8814046968296927,-0.5326436129659039,False,3
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_097,generic_tilt,"[0.04448970713710642, 0.8509017860791012, -0.5234375]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,8,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:+1:-1|4:-1:-1|5:+1:-1|6:+1:-1|6:-1:-1|7:-1:-1|2:+1:-1|3:-1:-1|8:-1:-1|8:+1:-1|4:+1:-1|5:-1:-1|7:+1:-1,"[[1, 10, 2, 11], [4, 3, 5, 4], [5, 12, 6, 13], [7, 16, 8, 1], [8, 9, 9, 10], [11, 2, 12, 3], [14, 13, 15, 14], [15, 6, 16, 7]]",5,,,False,,not_applicable,,passed,True,5,1,5,,True,9.352456181445126,1.1866359183301787,0.030951460630433303,0.1394754371892193,False,True,,passed,,0.006053400007658638,97,0.04448970713710642,0.8509017860791012,-0.5234375,1.5185585328989626,-0.5508802957186253,False,3
5_1_torus_T_2_5,deterministic_angular_sweep,32,96,,fibonacci_098,generic_tilt,"[-0.6005943463346524, -0.5905066064360343, -0.5390625]",5,5,40.676548542594446,14.557178462343233,1.1341477379228062,7,1,False,1:+1:-1|1:-1:-1|2:-1:-1|3:+1:-1|4:-1:-1|5:-1:-1|5:+1:-1|6:+1:-1|7:-1:-1|2:+1:-1|3:-1:-1|4:+1:-1|6:-1:-1|7:+1:-1,"[[1, 8, 2, 9], [3, 12, 4, 13], [6, 5, 7, 6], [7, 14, 8, 1], [9, 2, 10, 3], [10, 11, 11, 12], [13, 4, 14, 5]]",5,,,False,,not_applicable,,passed,True,5,1,5,,True,38.50153336750231,1.2078745228507666,0.04741709947742834,0.1378695402550846,False,True,,passed,,0.005954799999017268,98,-0.6005943463346524,-0.5905066064360343,-0.5390625,-2.3646635445519686,-0.5693236433207793,False,2
